id,text,v_path,label
1,i didn't even want to go in there everyhere i go people look at me like i'm a criminal,/kaggle/input/voice-dataset/1-W-ang.wav,ang
2,how can you speak so passionately about something you wasn't there to witness,/kaggle/input/voice-dataset/2-W-ang.wav,ang
3,everything i have ever cared about is gone,/kaggle/input/voice-dataset/3-W-sad.wav,sad
4,"i just want be a doctor or anything to help my people, but i can't. im just a kid",/kaggle/input/voice-dataset/4-W-sad.wav,sad
5,"i was pushing towards success and my mentor GPS announced, You've arrived. and i was like I know right?",/kaggle/input/voice-dataset/5-W-happy.wav,hap
6,"dont judge me. i like rainbow, sparkles and unicorns i'm that kind of girl.",/kaggle/input/voice-dataset/6-W-happy.wav,hap
7,but i say you are executing his soul!,/kaggle/input/voice-dataset/7-W-ang.wav,ang
8,for all of gaza becouse they've been attacked and destroyed six ambulances,/kaggle/input/voice-dataset/8-W-sad.wav,sad
9,he broke up with me he dumped me for good,/kaggle/input/voice-dataset/9-W-sad.wav,sad
10,"Yeah, you want to see my supervisor? Huh? Yeah, you want to see my supervisor? Fine, I'll be right back",/kaggle/input/voice-dataset/10-W-ang.wav,ang
11,I don't understand why this is so complicated for people when they get here it's just a simple form I just need an id,/kaggle/input/voice-dataset/11-W-ang.wav,ang
12,Where's my daughter? Where's my...,/kaggle/input/voice-dataset/12-W-ang.wav,ang
13,I'd take a flame through it in this place.,/kaggle/input/voice-dataset/13-W-ang.wav,ang
14,"But I show you, I don't order. You don't know what I don't order is, Mr. Trash.",/kaggle/input/voice-dataset/14-W-ang.wav,ang
15,I'm not finished as I came in here.,/kaggle/input/voice-dataset/15-W-ang.wav,ang
16,"He wouldn't have had to take things and do his own hands, and he would have had a gun and could have defended.",/kaggle/input/voice-dataset/16-W-ang.wav,ang
17,right from the start and let him arrest that little degenerate he wouldn't have had to take things and do his own,/kaggle/input/voice-dataset/17-W-ang.wav,ang
18,"Instead of taking their guns, not supporting them, not backing them up.",/kaggle/input/voice-dataset/18-W-ang.wav,ang
19,I guess I'll have an internet husband.,/kaggle/input/voice-dataset/19-W-happy.wav,hap
20,She needs a new name each state that we go into.,/kaggle/input/voice-dataset/20-W-happy.wav,hap
21,It's a fault. He didn't have a gun.,/kaggle/input/voice-dataset/21-W-sad.wav,sad
22,You were supposed to back him up and where were you? Where were you?,/kaggle/input/voice-dataset/22-W-sad.wav,sad
23,I would have never even heard his name if you hadn't.,/kaggle/input/voice-dataset/23-W-sad.wav,sad
24,"I'm sorry, I'm sorry.",/kaggle/input/voice-dataset/24-W-sad.wav,sad
25,"Colonel, Lieutenant Kendrick ordered the code red, didn't he? Because that's what you told Lieutenant Kendrick to do.",/kaggle/input/voice-dataset/25-W-ang.wav,ang
26,questions the manner in which I provide it. I would rather you just said thank you and went on your way.,/kaggle/input/voice-dataset/26-W-ang.wav,ang
27,"Either way, I don't give a damn what you think you are entitled to.",/kaggle/input/voice-dataset/27-W-ang.wav,ang
28,"Hey, will you say sir? I turn around and look for my father. Danny, Daniel Caffe.",/kaggle/input/voice-dataset/28-W-happy.wav,hap
29,"For every American century post, there's a Cuban counterpart they're called mirrors. Lance Corporal's claiming that his mirror was about to fire at him.",/kaggle/input/voice-dataset/29-W-neu.wav,neu
30,"He's saying that the guy, the mirror, he never made a move.",/kaggle/input/voice-dataset/30-W-neu.wav,neu
31,The government of the United States wants to charge you to the murder.,/kaggle/input/voice-dataset/31-W-neu.wav,neu
32,"Guantanamo Bay, Cuba. A Marine Corporal named Dawson illegally fires around from his weapon.",/kaggle/input/voice-dataset/32-W-neu.wav,neu
33,PFC William Santiago threatens to rat on Dawson the Naval Investigative Service.,/kaggle/input/voice-dataset/33-W-neu.wav,neu
34,"Dawson and another member of his squad, PFC Loudon Downey, go into Santiago's room.",/kaggle/input/voice-dataset/34-W-neu.wav,neu
35,"The flight to Cuba was at O six hundred in the morning, sir.",/kaggle/input/voice-dataset/35-W-neu.wav,neu
36,"Right. Right. Okay, but I've got to have that report by Wednesday.",/kaggle/input/voice-dataset/36-W-happy.wav,hap
37,I'll call you back. You're the Attorney Division Assign.,/kaggle/input/voice-dataset/37-W-neu.wav,neu
38,"No. When I petitioned division to have counsel or something, I was hoping I would be taken seriously.",/kaggle/input/voice-dataset/38-W-neu.wav,neu
39,"Dawson's family has been contacted. Downey's closest living relative is Jettie Miller, his aunt on his mother's side.",/kaggle/input/voice-dataset/39-W-neu.wav,neu
40,One of the people who will be seeing down there is the barrack CEO Colonel Nathan Jessup I assume you've heard of him.,/kaggle/input/voice-dataset/40-W-neu.wav,neu
41,"Finally, he wrote to the Naval Investigative Service where he offered information about Corporal Dawson's Fence Line shooting in exchange for a transfer.",/kaggle/input/voice-dataset/41-W-neu.wav,neu
42,"I'm special counsel for Internal Affairs, so my jurisdictions pretty much in your face.",/kaggle/input/voice-dataset/42-W-ang.wav,ang
43,Tell your friend not to get cute down there. The Marines in Guantanamo are fanatical.,/kaggle/input/voice-dataset/43-W-neu.wav,neu
44,A bad day! I'm having the worst damn day of my whole damn life! So if it is not...,/kaggle/input/voice-dataset/44-W-ang.wav,ang
45,"Yes, no problem. We get it from Colonel Jessup. Isn't it true that you ordered the code red on Santiago?",/kaggle/input/voice-dataset/45-W-ang.wav,ang
46,Should we or should we not follow the advice of the Galactically stupid?,/kaggle/input/voice-dataset/46-W-ang.wav,ang
47,What the hell is wrong with you? Why can't you do one thing I say?,/kaggle/input/voice-dataset/47-W-ang.wav,ang
48,"I told you, Skylar, I warned you for a solid year. You crossed me.",/kaggle/input/voice-dataset/48-W-neu.wav,neu
49,I'm sorry.,/kaggle/input/voice-dataset/49-W-sad.wav,sad
50,You... you have no right to discuss anything about what I do.,/kaggle/input/voice-dataset/50-W-ang.wav,ang
51,You're right. You're right.,/kaggle/input/voice-dataset/51-W-sad.wav,sad
52,"Walt, tell me what happened.",/kaggle/input/voice-dataset/52-W-sad.wav,sad
53,Where is Hank? Please. We need to know.,/kaggle/input/voice-dataset/53-W-sad.wav,sad
54,You're never gonna see Hank again.,/kaggle/input/voice-dataset/54-W-sad.wav,sad
55,"Walt, I just want to haul you back.",/kaggle/input/voice-dataset/55-W-sad.wav,sad
56,I've still got things left to do.,/kaggle/input/voice-dataset/56-W-sad.wav,sad
57,"just sweets. No joking, like a lot of things but like if you had to put me on the spot, it would be sweets.",/kaggle/input/voice-dataset/57-W-happy.wav,hap
58,I'd say having food in my belly makes me happy.,/kaggle/input/voice-dataset/58-W-happy.wav,hap
59,"amm piece of mind. Simple as that. If I have equilibrium from the inside,",/kaggle/input/voice-dataset/59-W-neu.wav,neu
60,since I'm working I have more money to spend on my hobbies.,/kaggle/input/voice-dataset/60-W-happy.wav,hap
